Data,Casos,Mortes,Estado,
3/15/2020,136,0,SP,
3/15/2020,6,0,PR,
3/15/2020,6,0,SC,
3/15/2020,6,0,RS,
3/15/2020,0,0,MS,
3/15/2020,0,0,MT,
3/15/2020,3,0,GO,
3/15/2020,8,0,DF,
3/16/2020,0,0,RO,
3/16/2020,0,0,AC,
3/16/2020,1,0,AM,
3/16/2020,0,0,RR,
3/16/2020,0,0,PA,
3/16/2020,0,0,AP,
3/16/2020,0,0,TO,
3/16/2020,0,0,MA,
3/16/2020,0,0,PI,
3/16/2020,0,0,CE,
3/16/2020,1,0,RN,
3/16/2020,0,0,PB,
3/16/2020,2,0,PE,
3/16/2020,1,0,AL,
3/16/2020,1,0,SE,
3/16/2020,2,0,BA,
3/16/2020,5,0,MG,
3/16/2020,1,0,ES,
3/16/2020,31,0,RJ,
3/16/2020,152,0,SP,
3/16/2020,6,0,PR,
3/16/2020,7,0,SC,
3/16/2020,6,0,RS,
3/16/2020,2,0,MS,
3/16/2020,0,0,MT,
3/16/2020,3,0,GO,
3/16/2020,13,0,DF,
3/17/2020,0,0,RO,
3/17/2020,0,0,AC,
3/17/2020,1,0,AM,
3/17/2020,0,0,RR,
3/17/2020,0,0,PA,
3/17/2020,0,0,AP,
3/17/2020,0,0,TO,
3/17/2020,0,0,MA,
3/17/2020,0,0,PI,
3/17/2020,5,0,CE,
3/17/2020,1,0,RN,
3/17/2020,0,0,PB,
3/17/2020,16,0,PE,
3/17/2020,1,0,AL,
3/17/2020,4,0,SE,
3/17/2020,3,0,BA,
3/17/2020,7,0,MG,
3/17/2020,1,0,ES,
3/17/2020,33,0,RJ,
3/17/2020,164,1,SP,
3/17/2020,6,0,PR,
3/17/2020,7,0,SC,
3/17/2020,10,0,RS,
3/17/2020,4,0,MS,
3/17/2020,0,0,MT,
3/17/2020,6,0,GO,
3/17/2020,22,0,DF,
3/18/2020,0,0,RO,
3/18/2020,0,0,AC,
3/18/2020,1,0,AM,
3/18/2020,0,0,RR,
3/18/2020,0,0,PA,
3/18/2020,0,0,AP,
3/18/2020,0,0,TO,
3/18/2020,0,0,MA,
3/18/2020,0,0,PI,
3/18/2020,9,0,CE,
